Iso Code   Language Name
poh-dialect_western   Poqomchi’
por   Portuguese
prt   Prai
pui   Puinave
pan   Punjabi, Eastern
tsz   Purepecha
suv   Puroik
lme   Pévé
quy   Quechua, Ayacucho
qvc   Quechua, Cajamarca
quz   Quechua, Cusco
qve   Quechua, Eastern Apurímac
qub   Quechua, Huallaga
qvh   Quechua, Huamalíes-Dos de Mayo Huánuco
qwh   Quechua, Huaylas Ancash
qvw   Quechua, Huaylla Wanca
quf   Quechua, Lambayeque
qvm   Quechua, Margos-Yarowilca-Lauricocha
qul   Quechua, North Bolivian
qvn   Quechua, North Junín
qxn   Quechua, Northern Conchucos Ancash
qxh   Quechua, Panao
qvs   Quechua, San Martín
quh   Quechua, South Bolivian
qxo   Quechua, Southern Conchucos
qxr   Quichua, Cañar Highland
qvo   Quichua, Napo
qvz   Quichua, Northern Pastaza
qxl   Quichua, Salasaca Highland
quw   Quichua, Tena Lowland
kjb   Q’anjob’al
kek   Q’eqchi’
rah   Rabha
rjs   Rajbanshi
rai   Ramoaaina
lje   Rampi
rnl   Ranglong
rkt   Rangpuri
rap   Rapa Nui
yea   Ravula
raw   Rawang
rej   Rejang
rel   Rendille
ril   Riang Lang
iri   Rigwe
rgu   Rikou
rhg   Rohingya
rmc-script_latin   Romani, Carpathian
rmc-script_cyrillic   Romani, Carpathian
rmo   Romani, Sinte
rmy-script_latin   Romani, Vlax
rmy-script_cyrillic   Romani, Vlax
ron   Romanian
rol   Romblomanon
cla   Ron
rng   Ronga
rug   Roviana
run   Rundi
rus   Russian
lsm   Saamya-Gwe
spy   Sabaot
sck   Sadri
saj   Sahu
sch   Sakachep
sml   Sama, Central
xsb   Sambal
sbl   Sambal, Botolan
saq   Samburu
sbd   Samo, Southern
smo   Samoan
rav   Sampang
sxn   Sangir
sag   Sango
sbp   Sangu
xsu   Sanumá
srm   Saramaccan
sas   Sasak
apb   Sa’a
sgw   Sebat Bet Gurage
tvw   Sedoa
lip   Sekpele
slu   Selaru
snw   Selee
sea   Semai
sza   Semelai
seh   Sena
crs   Seychelles French Creole
ksb   Shambala
shn   Shan
sho   Shanga
mcd   Sharanahua
cbt   Shawi
xsr   Sherpa
shk   Shilluk
shp   Shipibo-Conibo
sna   Shona
cjs   Shor
jiv   Shuar
snp   Siane
sya   Siang
sid   Sidamo
snn   Siona
sri   Siriano
srx   Sirmauri
sil   Sisaala, Tumulung
sld   Sissala
akp   Siwu
xog   Soga
som   Somali
bmu   Somba-Siawari
khq   Songhay, Koyra Chiini
ses   Songhay, Koyraboro Senni
mnx   Sougb
spa   Spanish
srn   Sranan Tongo
sxb   Suba
suc   Subanon, Western
tgo   Sudest
suk   Sukuma
sun   Sunda
suz   Sunwar
sgj   Surgujia
sus   Susu
swh   Swahili
swe   Swedish
syl   Sylheti
dyi   Sénoufo, Djimini
myk   Sénoufo, Mamara
spp   Sénoufo, Supyire
tap   Taabwa
tby   Tabaru
tna   Tacana
shi   Tachelhit
klw   Tado
tgl   Tagalog
tbk   Tagbanwa, Calamian
tgj   Tagin
blt   Tai Dam
tbg   Tairora, North
omw   Tairora, South
tgk   Tajik
tdj   Tajio
tbc   Takia
tlj   Talinga-Bwisi
tly   Talysh
ttq-script_tifinagh   Tamajaq, Tawallammat
taj   Tamang, Eastern
taq   Tamasheq
tam   Tamil
tpm   Tampulma
tgp   Tangoa
tnn   Tanna, North
tac   Tarahumara, Western
rif-script_latin   Tarifit
rif-script_arabic   Tarifit
tat   Tatar
tav   Tatuyo
twb   Tawbuid
tbl   Tboli
kps   Tehit
twe   Teiwa
ttc   Tektiteko
tel   Telugu
kdh   Tem
tes   Tengger
tex   Tennet
tee   Tepehua, Huehuetla
tpp   Tepehua, Pisaflores
tpt   Tepehua, Tlachichilco
stp   Tepehuan, Southeastern
tfr   Teribe
twu   Termanu
ter   Terêna
tew   Tewa
tha   Thai
nod   Thai, Northern
thl   Tharu, Dangaura
tem   Themne
adx   Tibetan, Amdo
bod   Tibetan, Central
khg   Tibetan, Khams
tca   Ticuna
tir   Tigrigna
txq   Tii
tik   Tikar
dgr   Tlicho
tob   Toba
tmf   Toba-Maskoy
tng   Tobanga
tlb   Tobelo
ood   Tohono O’odham
tpi   Tok Pisin
jic   Tol
lbw   Tolaki
txa   Tombonuo
tom   Tombulu
toh   Tonga
tnt   Tontemboan
sda   Toraja-Sa’dan
tcs   Torres Strait Creole
toc   Totonac, Coyutla
tos   Totonac, Highland
neb   Toura
trn   Trinitario
trs   Triqui, Chicahuaxtla
trc   Triqui, Copala
tri   Trió
cof   Tsafiki
tkr   Tsakhur
kdl   Tsikimba
cas   Tsimané
tso   Tsonga
tuo   Tucano
iou   Tuma-Irumu
tmc   Tumak
tuf   Tunebo, Central
tur   Turkish
tuk-script_latin   Turkmen
tuk-script_arabic   Turkmen
bov   Tuwuli
tue   Tuyuca
kcg   Tyap
tzh-dialect_bachajón   Tzeltal
tzh-dialect_tenejapa   Tzeltal
tzo-dialect_chenalhó   Tzotzil
tzo-dialect_chamula   Tzotzil
tzj-dialect_western   Tz’utujil
tzj-dialect_eastern   Tz’utujil
aoz   Uab Meto
udm   Udmurt
udu   Uduk
ukr   Ukrainian
ppk   Uma
ubu   Umbu-Ungu
urk   Urak Lawoi’
ura   Urarina
urt   Urat
urd-script_devanagari   Urdu
urd-script_arabic   Urdu
urd-script_latin   Urdu
upv   Uripiv-Wala-Rano-Atchin
usp   Uspanteko
uig-script_arabic   Uyghur
uig-script_cyrillic   Uyghur
uzb-script_cyrillic   Uzbek
vag   Vagla
bav   Vengo
vid   Vidunda
vie   Vietnamese
vif   Vili
vun   Vunjo
vut   Vute
prk   Wa, Parauk
wwa   Waama
rro   Waima
bao   Waimaha
waw   Waiwai
lgl   Wala
wlx   Wali
cou   Wamey
hub   Wampís
gvc   Wanano
mfi   Wandala
wap   Wapishana
wba   Warao
war   Waray-Waray
way   Wayana
guc   Wayuu
cym   Welsh
kvw   Wersing
tnp   Whitesands
hto   Witoto, Minika
huu   Witoto, Murui
wal-script_latin   Wolaytta
wal-script_ethiopic   Wolaytta
wlo   Wolio
noa   Woun Meu
wob   Wè Northern
kao   Xaasongaxango
xer   Xerénte
yad   Yagua
yka   Yakan
sah   Yakut
yba   Yala
yli   Yali, Angguruk
nlk   Yali, Ninia
yal   Yalunka
yam   Yamba
yat   Yambeta
jmd   Yamdena
tao   Yami
yaa   Yaminahua
ame   Yanesha’
guu   Yanomamö
yao   Yao
yre   Yaouré
yva   Yawa
ybb   Yemba
pib   Yine
byr   Yipma
pil   Yom
yor   Yoruba
ycn   Yucuna
ess   Yupik, Saint Lawrence Island
yuz   Yuracare
atb   Zaiwa
zne   Zande
zaq   Zapotec, Aloápam
zpo   Zapotec, Amatlán
zad   Zapotec, Cajonos
zpc   Zapotec, Choapan
zca   Zapotec, Coatecas Altas
zpg   Zapotec, Guevea de Humboldt
zai   Zapotec, Isthmus
zpl   Zapotec, Lachixío
zam   Zapotec, Miahuatlán
zaw   Zapotec, Mitla
zpm   Zapotec, Mixtepec
zac   Zapotec, Ocotlán
zao   Zapotec, Ozolotepec
ztq   Zapotec, Quioquitani-Quierí
zar   Zapotec, Rincón
zpt   Zapotec, San Vicente Coatlán
zpi   Zapotec, Santa María Quiegolani
zas   Zapotec, Santo Domingo Albarradas
zaa   Zapotec, Sierra de Juárez
zpz   Zapotec, Texmelucan
zab   Zapotec, Western Tlacolula Valley
zpu   Zapotec, Yalálag
zae   Zapotec, Yareni
zty   Zapotec, Yatee
zav   Zapotec, Yatzachi
zza   Zaza
zyb   Zhuang, Yongbei
ziw   Zigula
zos   Zoque, Francisco León
gnd   Zulgo-Gemzek
ewe   Éwé
